20482046     father: 20480486      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 97], ['left', 3]], 24: [['left', 100]], 31: [['right', 28], ['down', 72]], 32: [['up', 23], ['right', 6], ['down', 71]], 34: [['up', 0], ['down', 100]], 41: [['up', 9], ['left', 48], ['down', 43]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482047     father: 20480486      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 99], ['right', 1]], 21: [['down', 100]], 23: [['down', 97], ['left', 3]], 24: [['left', 100]], 31: [['right', 28], ['down', 72]], 32: [['up', 23], ['right', 6], ['down', 71]], 34: [['up', 0], ['down', 100]], 41: [['up', 9], ['left', 48], ['down', 43]], 42: [['left', 22], ['down', 78]], 43: [['up', 0], ['down', 100]]}
20482048     father: 20480124      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 83], ['right', 17]], 21: [['down', 100]], 23: [['down', 59], ['left', 41]], 24: [['left', 100]], 31: [['right', 48], ['down', 52]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 20], ['down', 72]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482049     father: 20480124      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 83], ['right', 17]], 21: [['down', 100]], 23: [['down', 59], ['left', 41]], 24: [['left', 100]], 31: [['right', 48], ['down', 52]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 20], ['down', 72]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482050     father: 20480423      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 54], ['down', 17]], 42: [['left', 9], ['down', 91]], 43: [['up', 0], ['down', 100]]}
20482051     father: 20480423      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 54], ['down', 17]], 42: [['left', 9], ['down', 91]], 43: [['up', 0], ['down', 100]]}
20482052     father: 20480294XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 47], ['left', 53]], 24: [['left', 100]], 31: [['right', 75], ['down', 25]], 32: [['up', 1], ['right', 25], ['down', 74]], 34: [['up', 0], ['down', 100]], 41: [['up', 5], ['left', 29], ['down', 66]], 42: [['left', 45], ['down', 55]], 43: [['up', 3], ['down', 97]]}
20482053     father: 20480294      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 47], ['left', 53]], 24: [['left', 100]], 31: [['right', 76], ['down', 24]], 32: [['up', 1], ['right', 25], ['down', 74]], 34: [['up', 0], ['down', 100]], 41: [['up', 5], ['left', 29], ['down', 66]], 42: [['left', 45], ['down', 55]], 43: [['up', 3], ['down', 97]]}
20482054     father: 20481218      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 83], ['right', 17]], 21: [['down', 100]], 23: [['down', 73], ['left', 27]], 24: [['left', 100]], 31: [['right', 42], ['down', 58]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 20], ['down', 72]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482055     father: 20481218      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 83], ['right', 17]], 21: [['down', 100]], 23: [['down', 73], ['left', 27]], 24: [['left', 100]], 31: [['right', 42], ['down', 58]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 8], ['left', 20], ['down', 72]], 42: [['left', 74], ['down', 26]], 43: [['up', 0], ['down', 100]]}
20482056     father: 20482005      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 41], ['right', 59]], 21: [['down', 100]], 23: [['down', 92], ['left', 8]], 24: [['left', 100]], 31: [['right', 48], ['down', 52]], 32: [['up', 2], ['right', 65], ['down', 33]], 34: [['up', 1], ['down', 99]], 41: [['up', 6], ['left', 37], ['down', 57]], 42: [['left', 53], ['down', 47]], 43: [['up', 7], ['down', 93]]}
